InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,LineTotal,Date,Period,Day,Hour
C536548,20957,PORCELAIN HANGING BELL SMALL,-1,2018-11-29 14:33:00,1.45,12472,-1.45,2018-11-29,2018-11,Thursday,14
C536548,22580,ADVENT CALENDAR GINGHAM SACK,-4,2018-11-29 14:33:00,5.95,12472,-23.8,2018-11-29,2018-11,Thursday,14
C536606,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-2,2018-11-30 09:10:00,2.95,14092,-5.9,2018-11-30,2018-11,Friday,9
C536622,22752,SET 7 BABUSHKA NESTING BOXES,-2,2018-11-30 10:37:00,8.5,12471,-17.0,2018-11-30,2018-11,Friday,10
C536625,22839,3 TIER CAKE TIN GREEN AND CREAM,-2,2018-11-30 10:46:00,14.95,14766,-29.9,2018-11-30,2018-11,Friday,10
C536642,21463,MIRRORED DISCO BALL ,-1,2018-11-30 11:56:00,5.95,14390,-5.95,2018-11-30,2018-11,Friday,11
C536734,22780,LIGHT GARLAND BUTTERFILES PINK,-4,2018-11-30 12:50:00,4.25,16042,-17.0,2018-11-30,2018-11,Friday,12
C536734,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-1,2018-11-30 12:50:00,7.95,16042,-7.95,2018-11-30,2018-11,Friday,12
C536737,22798,ANTIQUE GLASS DRESSING TABLE POT,-2,2018-11-30 13:05:00,2.95,15922,-5.9,2018-11-30,2018-11,Friday,13
C536757,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9360,2018-11-30 14:23:00,0.03,15838,-280.8,2018-11-30,2018-11,Friday,14
C536758,21314,SMALL GLASS HEART TRINKET POT,-1,2018-11-30 14:25:00,2.1,13767,-2.1,2018-11-30,2018-11,Friday,14
C536760,22175,PINK OWL SOFT TOY,-1,2018-11-30 14:29:00,2.95,17547,-2.95,2018-11-30,2018-11,Friday,14
C536760,22273,FELTCRAFT DOLL MOLLY,-3,2018-11-30 14:29:00,2.95,17547,-8.850000000000001,2018-11-30,2018-11,Friday,14
C536807,22501,PICNIC BASKET WICKER LARGE,-2,2018-11-30 16:45:00,9.95,15834,-19.9,2018-11-30,2018-11,Friday,16
C536807,22778,GLASS CLOCHE SMALL,-1,2018-11-30 16:45:00,3.95,15834,-3.95,2018-11-30,2018-11,Friday,16
C536812,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,-36,2018-11-30 16:58:00,0.85,16546,-30.599999999999998,2018-11-30,2018-11,Friday,16
C536812,22574,HEART WOODEN CHRISTMAS DECORATION,-192,2018-11-30 16:58:00,0.72,16546,-138.24,2018-11-30,2018-11,Friday,16
C536812,22593,CHRISTMAS GINGHAM STAR,-144,2018-11-30 16:58:00,0.72,16546,-103.67999999999999,2018-11-30,2018-11,Friday,16
C536812,22595,CHRISTMAS GINGHAM HEART,-144,2018-11-30 16:58:00,0.72,16546,-103.67999999999999,2018-11-30,2018-11,Friday,16
C536812,22588,CARD HOLDER GINGHAM HEART,-192,2018-11-30 16:58:00,2.1,16546,-403.20000000000005,2018-11-30,2018-11,Friday,16
C536812,22130,PARTY CONE CHRISTMAS DECORATION ,-144,2018-11-30 16:58:00,0.72,16546,-103.67999999999999,2018-11-30,2018-11,Friday,16
C536814,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-2,2018-11-30 17:03:00,7.95,13958,-15.9,2018-11-30,2018-11,Friday,17
C536814,72799E,IVORY PILLAR CANDLE SILVER FLOCK,-6,2018-11-30 17:03:00,2.95,13958,-17.700000000000003,2018-11-30,2018-11,Friday,17
C536814,85066,CREAM SWEETHEART MINI CHEST,-2,2018-11-30 17:03:00,12.75,13958,-25.5,2018-11-30,2018-11,Friday,17
C536814,21586,KINGS CHOICE GIANT TUBE MATCHES,-12,2018-11-30 17:03:00,2.55,13958,-30.599999999999998,2018-11-30,2018-11,Friday,17
C536814,21258,VICTORIAN SEWING BOX LARGE,-1,2018-11-30 17:03:00,12.75,13958,-12.75,2018-11-30,2018-11,Friday,17
C536815,85175,CACTI T-LIGHT CANDLES,-1,2018-11-30 17:05:00,0.42,14443,-0.42,2018-11-30,2018-11,Friday,17
C536815,22178,VICTORIAN GLASS HANGING T-LIGHT,-1,2018-11-30 17:05:00,1.25,14443,-1.25,2018-11-30,2018-11,Friday,17
C536816,21129,SILVER FISHING GNOME ,-2,2018-11-30 17:06:00,6.95,14443,-13.9,2018-11-30,2018-11,Friday,17
C536817,22187,GREEN CHRISTMAS TREE CARD HOLDER,-1,2018-11-30 17:08:00,4.25,14156,-4.25,2018-11-30,2018-11,Friday,17
C536817,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,2018-11-30 17:08:00,3.25,14156,-3.25,2018-11-30,2018-11,Friday,17
C536818,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,-1,2018-11-30 17:09:00,1.25,16995,-1.25,2018-11-30,2018-11,Friday,17
C536820,22877,NUMBER TILE COTTAGE GARDEN 9,-1,2018-11-30 17:14:00,1.95,18168,-1.95,2018-11-30,2018-11,Friday,17
C536820,22869,NUMBER TILE COTTAGE GARDEN 1,-1,2018-11-30 17:14:00,1.95,18168,-1.95,2018-11-30,2018-11,Friday,17
C536820,22878,NUMBER TILE COTTAGE GARDEN No,-1,2018-11-30 17:14:00,2.1,18168,-2.1,2018-11-30,2018-11,Friday,17
C536820,21843,RED RETROSPOT CAKE STAND,-1,2018-11-30 17:14:00,10.95,18168,-10.95,2018-11-30,2018-11,Friday,17
C536822,22847,BREAD BIN DINER STYLE IVORY,-2,2018-11-30 17:19:00,16.95,14625,-33.9,2018-11-30,2018-11,Friday,17
C536822,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,-1,2018-11-30 17:19:00,3.75,14625,-3.75,2018-11-30,2018-11,Friday,17
C536825,22617,BAKING SET SPACEBOY DESIGN,-1,2018-11-30 17:27:00,4.95,15384,-4.95,2018-11-30,2018-11,Friday,17
C536825,22197,SMALL POPCORN HOLDER,-2,2018-11-30 17:27:00,0.85,15384,-1.7,2018-11-30,2018-11,Friday,17
C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-2,2018-11-30 17:30:00,4.65,17924,-9.3,2018-11-30,2018-11,Friday,17
C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-3,2018-11-30 17:30:00,4.65,17924,-13.950000000000001,2018-11-30,2018-11,Friday,17
C536827,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-3,2018-11-30 17:31:00,6.95,13408,-20.85,2018-11-30,2018-11,Friday,17
C536828,22832,BROCANTE SHELF WITH HOOKS,-1,2018-11-30 17:35:00,10.75,14264,-10.75,2018-11-30,2018-11,Friday,17
C536828,84946,ANTIQUE SILVER TEA GLASS ETCHED,-3,2018-11-30 17:35:00,1.25,14264,-3.75,2018-11-30,2018-11,Friday,17
C536829,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,2018-11-30 17:36:00,3.25,13295,-3.25,2018-11-30,2018-11,Friday,17
C536850,22942,CHRISTMAS LIGHTS 10 SANTAS ,-48,2018-12-01 09:47:00,7.65,14213,-367.20000000000005,2018-12-01,2018-12,Saturday,9
C536850,22689,DOORMAT MERRY CHRISTMAS RED ,-50,2018-12-01 09:47:00,6.75,14213,-337.5,2018-12-01,2018-12,Saturday,9
C536850,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,-50,2018-12-01 09:47:00,2.55,14213,-127.49999999999999,2018-12-01,2018-12,Saturday,9
C536850,22580,ADVENT CALENDAR GINGHAM SACK,-48,2018-12-01 09:47:00,4.95,14213,-237.60000000000002,2018-12-01,2018-12,Saturday,9
C536850,22186,RED STAR CARD HOLDER,-48,2018-12-01 09:47:00,2.55,14213,-122.39999999999999,2018-12-01,2018-12,Saturday,9
C536853,84678,CLASSICAL ROSE SMALL VASE,-1,2018-12-01 10:07:00,2.55,14679,-2.55,2018-12-01,2018-12,Saturday,10
C536854,22158,3 HEARTS HANGING DECORATION RUSTIC,-1,2018-12-01 10:09:00,2.95,15240,-2.95,2018-12-01,2018-12,Saturday,10
C536854,22944,CHRISTMAS METAL POSTCARD WITH BELLS,-1,2018-12-01 10:09:00,1.25,15240,-1.25,2018-12-01,2018-12,Saturday,10
C536854,21871,SAVE THE PLANET MUG,-1,2018-12-01 10:09:00,1.25,15240,-1.25,2018-12-01,2018-12,Saturday,10
C536855,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-4,2018-12-01 10:11:00,7.95,18225,-31.8,2018-12-01,2018-12,Saturday,10
C536978,22776,SWEETHEART CAKESTAND 3 TIER,-1,2018-12-01 14:19:00,9.95,17954,-9.95,2018-12-01,2018-12,Saturday,14
C536979,84685,BEACH HUT KEY CABINET,-1,2018-12-01 14:23:00,3.75,17841,-3.75,2018-12-01,2018-12,Saturday,14
C536979,22630,DOLLY GIRL LUNCH BOX,-1,2018-12-01 14:23:00,1.95,17841,-1.95,2018-12-01,2018-12,Saturday,14
C537024,20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,-36,2018-12-01 16:21:00,2.1,13941,-75.60000000000001,2018-12-01,2018-12,Saturday,16
C537039,22854,CREAM SWEETHEART EGG HOLDER,-1,2018-12-03 10:25:00,4.95,15708,-4.95,2018-12-03,2018-12,Monday,10
C537039,20936,FORKED CACTUS CANDLE,-1,2018-12-03 10:25:00,2.95,15708,-2.95,2018-12-03,2018-12,Monday,10
C537039,85175,CACTI T-LIGHT CANDLES,-1,2018-12-03 10:25:00,0.42,15708,-0.42,2018-12-03,2018-12,Monday,10
C537043,22575,METAL MERRY CHRISTMAS WREATH,-6,2018-12-03 10:48:00,1.95,15351,-11.7,2018-12-03,2018-12,Monday,10
C537043,11001,ASSTD DESIGN RACING CAR PEN,-1,2018-12-03 10:48:00,1.69,15351,-1.69,2018-12-03,2018-12,Monday,10
C537132,22788,BROCANTE COAT RACK,-2,2018-12-03 12:29:00,8.5,15221,-17.0,2018-12-03,2018-12,Monday,12
C537132,22184,CAKE STAND VICTORIAN FILIGREE LARGE,-1,2018-12-03 12:29:00,8.5,15221,-8.5,2018-12-03,2018-12,Monday,12
C537132,71279,PINK GLASS CANDLEHOLDER,-2,2018-12-03 12:29:00,2.95,15221,-5.9,2018-12-03,2018-12,Monday,12
C537132,22761,CHEST 7 DRAWER MA CAMPAGNE,-2,2018-12-03 12:29:00,21.95,15221,-43.9,2018-12-03,2018-12,Monday,12
C537132,22769,CHALKBOARD KITCHEN ORGANISER,-8,2018-12-03 12:29:00,21.95,15221,-175.6,2018-12-03,2018-12,Monday,12
C537132,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,-3,2018-12-03 12:29:00,12.75,15221,-38.25,2018-12-03,2018-12,Monday,12
C537143,20685,DOORMAT RED RETROSPOT,-1,2018-12-03 12:58:00,7.95,12748,-7.95,2018-12-03,2018-12,Monday,12
C537157,35953,FOLKART STAR CHRISTMAS DECORATIONS,-24,2018-12-03 13:09:00,1.25,15880,-30.0,2018-12-03,2018-12,Monday,13
C537203,37449,CERAMIC CAKE STAND + HANGING CAKES,-1,2018-12-03 14:44:00,9.95,14606,-9.95,2018-12-03,2018-12,Monday,14
C537203,21424,WOODLAND STORAGE BOX LARGE ,-1,2018-12-03 14:44:00,2.95,14606,-2.95,2018-12-03,2018-12,Monday,14
C537232,84840,SWEETHEART CARRY-ALL BASKET,-2,2018-12-04 09:31:00,8.5,12586,-17.0,2018-12-04,2018-12,Tuesday,9
C537234,22653,BUTTON BOX ,-20,2018-12-04 09:40:00,1.95,16161,-39.0,2018-12-04,2018-12,Tuesday,9
C537251,22429,ENAMEL MEASURING JUG CREAM,-2,2018-12-04 10:45:00,4.25,,-8.5,2018-12-04,2018-12,Tuesday,10
C537251,22620,4 TRADITIONAL SPINNING TOPS,-8,2018-12-04 10:45:00,1.25,,-10.0,2018-12-04,2018-12,Tuesday,10
C537251,21890,S/6 WOODEN SKITTLES IN COTTON BAG,-2,2018-12-04 10:45:00,2.95,,-5.9,2018-12-04,2018-12,Tuesday,10
C537251,22564,ALPHABET STENCIL CRAFT,-5,2018-12-04 10:45:00,1.25,,-6.25,2018-12-04,2018-12,Tuesday,10
C537251,21891,TRADITIONAL WOODEN SKIPPING ROPE,-3,2018-12-04 10:45:00,1.25,,-3.75,2018-12-04,2018-12,Tuesday,10
C537251,22747,POPPY'S PLAYHOUSE BATHROOM,-6,2018-12-04 10:45:00,2.1,,-12.600000000000001,2018-12-04,2018-12,Tuesday,10
C537251,22454,MEASURING TAPE BABUSHKA RED,-8,2018-12-04 10:45:00,2.95,,-23.6,2018-12-04,2018-12,Tuesday,10
C537251,22327,ROUND SNACK BOXES SET OF 4 SKULLS,-4,2018-12-04 10:45:00,2.95,,-11.8,2018-12-04,2018-12,Tuesday,10
C537251,21915,RED  HARMONICA IN BOX ,-4,2018-12-04 10:45:00,1.25,,-5.0,2018-12-04,2018-12,Tuesday,10
C537251,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9,2018-12-04 10:45:00,2.55,,-22.95,2018-12-04,2018-12,Tuesday,10
C537251,22748,POPPY'S PLAYHOUSE KITCHEN,-4,2018-12-04 10:45:00,2.1,,-8.4,2018-12-04,2018-12,Tuesday,10
C537251,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,-6,2018-12-04 10:45:00,4.95,,-29.700000000000003,2018-12-04,2018-12,Tuesday,10
C537251,22418,10 COLOUR SPACEBOY PEN,-7,2018-12-04 10:45:00,0.85,,-5.95,2018-12-04,2018-12,Tuesday,10
C537251,22911,PAPER CHAIN KIT LONDON,-2,2018-12-04 10:45:00,2.95,,-5.9,2018-12-04,2018-12,Tuesday,10
C537251,22940,FELTCRAFT CHRISTMAS FAIRY,-5,2018-12-04 10:45:00,4.25,,-21.25,2018-12-04,2018-12,Tuesday,10
C537251,22141,CHRISTMAS CRAFT TREE TOP ANGEL,-8,2018-12-04 10:45:00,2.1,,-16.8,2018-12-04,2018-12,Tuesday,10
C537251,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-2,2018-12-04 10:45:00,2.95,,-5.9,2018-12-04,2018-12,Tuesday,10
C537251,22536,MAGIC DRAWING SLATE PURDEY,-11,2018-12-04 10:45:00,0.42,,-4.62,2018-12-04,2018-12,Tuesday,10
C537251,21826,EIGHT PIECE DINOSAUR SET,-4,2018-12-04 10:45:00,1.25,,-5.0,2018-12-04,2018-12,Tuesday,10
C537251,22466,FAIRY TALE COTTAGE NIGHTLIGHT,-3,2018-12-04 10:45:00,1.95,,-5.85,2018-12-04,2018-12,Tuesday,10
C537314,21349,IVY HEART WREATH,-4,2018-12-04 11:42:00,6.75,13497,-27.0,2018-12-04,2018-12,Tuesday,11
C537320,35400,WOODEN BOX ADVENT CALENDAR ,-1,2018-12-04 11:47:00,8.95,14867,-8.95,2018-12-04,2018-12,Tuesday,11
C537333,22636,CHILDS BREAKFAST SET CIRCUS PARADE,-4,2018-12-04 12:00:00,8.5,12474,-34.0,2018-12-04,2018-12,Tuesday,12
C537373,22423,REGENCY CAKESTAND 3 TIER,-1,2018-12-04 12:55:00,12.75,14487,-12.75,2018-12-04,2018-12,Tuesday,12
C537379,22865,HAND WARMER OWL DESIGN,-10,2018-12-04 13:12:00,2.1,15882,-21.0,2018-12-04,2018-12,Tuesday,13
C537383,21658,GLASS  BEURRE DISH,-1,2018-12-04 13:17:00,3.95,16550,-3.95,2018-12-04,2018-12,Tuesday,13
C537383,22197,SMALL POPCORN HOLDER,-1,2018-12-04 13:17:00,0.85,16550,-0.85,2018-12-04,2018-12,Tuesday,13
C537383,22371,AIRLINE BAG VINTAGE TOKYO 78,-1,2018-12-04 13:17:00,4.25,16550,-4.25,2018-12-04,2018-12,Tuesday,13
C537398,22430,ENAMEL WATERING CAN CREAM,-1,2018-12-04 14:22:00,4.95,15426,-4.95,2018-12-04,2018-12,Tuesday,14
C537402,22926,IVORY GIANT GARDEN THERMOMETER,-4,2018-12-04 14:43:00,5.95,15502,-23.8,2018-12-04,2018-12,Tuesday,14
C537402,22927,GREEN GIANT GARDEN THERMOMETER,-4,2018-12-04 14:43:00,5.95,15502,-23.8,2018-12-04,2018-12,Tuesday,14
C537402,22849,BREAD BIN DINER STYLE MINT,-4,2018-12-04 14:43:00,14.95,15502,-59.8,2018-12-04,2018-12,Tuesday,14
C537402,22847,BREAD BIN DINER STYLE IVORY,-4,2018-12-04 14:43:00,14.95,15502,-59.8,2018-12-04,2018-12,Tuesday,14
C537402,47580,TEA TIME DES TEA COSY,-6,2018-12-04 14:43:00,2.55,15502,-15.299999999999999,2018-12-04,2018-12,Tuesday,14
C537402,22196,SMALL HEART MEASURING SPOONS,-12,2018-12-04 14:43:00,0.85,15502,-10.2,2018-12-04,2018-12,Tuesday,14
C537406,22926,IVORY GIANT GARDEN THERMOMETER,-4,2018-12-04 14:53:00,5.95,15502,-23.8,2018-12-04,2018-12,Tuesday,14
C537406,22927,GREEN GIANT GARDEN THERMOMETER,-4,2018-12-04 14:53:00,5.95,15502,-23.8,2018-12-04,2018-12,Tuesday,14
C537406,22847,BREAD BIN DINER STYLE IVORY,-4,2018-12-04 14:53:00,14.95,15502,-59.8,2018-12-04,2018-12,Tuesday,14
C537406,22849,BREAD BIN DINER STYLE MINT,-4,2018-12-04 14:53:00,14.95,15502,-59.8,2018-12-04,2018-12,Tuesday,14
C537408,47580,TEA TIME DES TEA COSY,-6,2018-12-04 14:55:00,2.55,15502,-15.299999999999999,2018-12-04,2018-12,Tuesday,14
C537408,22196,SMALL HEART MEASURING SPOONS,-12,2018-12-04 14:55:00,0.85,15502,-10.2,2018-12-04,2018-12,Tuesday,14
C537413,22834,HAND WARMER BABUSHKA DESIGN,-72,2018-12-04 15:07:00,2.1,14409,-151.20000000000002,2018-12-04,2018-12,Tuesday,15
C537414,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,-6,2018-12-04 15:09:00,2.95,16861,-17.700000000000003,2018-12-04,2018-12,Tuesday,15
C537416,22840,ROUND CAKE TIN VINTAGE RED,-1,2018-12-04 15:10:00,7.95,16138,-7.95,2018-12-04,2018-12,Tuesday,15
C537417,22960,JAM MAKING SET WITH JARS,-1,2018-12-04 15:12:00,4.25,13481,-4.25,2018-12-04,2018-12,Tuesday,15
C537431,21755,LOVE BUILDING BLOCK WORD,-1,2018-12-04 16:10:00,5.95,16782,-5.95,2018-12-04,2018-12,Tuesday,16
C537444,22580,ADVENT CALENDAR GINGHAM SACK,-8,2018-12-05 08:42:00,5.95,14850,-47.6,2018-12-05,2018-12,Wednesday,8
C537445,22418,10 COLOUR SPACEBOY PEN,-11,2018-12-05 08:57:00,0.85,15021,-9.35,2018-12-05,2018-12,Wednesday,8
C537530,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-1,2018-12-05 11:47:00,7.95,13319,-7.95,2018-12-05,2018-12,Wednesday,11
C537530,85047,WHITE BEADED GARLAND STRING 20LIGHT,-2,2018-12-05 11:47:00,6.35,13319,-12.7,2018-12-05,2018-12,Wednesday,11
C537530,22726,ALARM CLOCK BAKELIKE GREEN,-2,2018-12-05 11:47:00,3.75,13319,-7.5,2018-12-05,2018-12,Wednesday,11
C537596,22968,ROSE COTTAGE KEEPSAKE BOX ,-2,2018-12-05 12:31:00,9.95,17954,-19.9,2018-12-05,2018-12,Wednesday,12
C537602,85099B,JUMBO BAG RED RETROSPOT,-1,2018-12-05 12:45:00,1.65,17511,-1.65,2018-12-05,2018-12,Wednesday,12
C537602,21622,VINTAGE UNION JACK CUSHION COVER,-1,2018-12-05 12:45:00,4.95,17511,-4.95,2018-12-05,2018-12,Wednesday,12
C537602,22065,CHRISTMAS PUDDING TRINKET POT ,-1,2018-12-05 12:45:00,1.25,17511,-1.25,2018-12-05,2018-12,Wednesday,12
C537602,22061,LARGE CAKE STAND  HANGING STRAWBERY,-1,2018-12-05 12:45:00,8.5,17511,-8.5,2018-12-05,2018-12,Wednesday,12
C537602,22654,DELUXE SEWING KIT ,-1,2018-12-05 12:45:00,4.95,17511,-4.95,2018-12-05,2018-12,Wednesday,12
C537602,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2018-12-05 12:45:00,2.55,17511,-2.55,2018-12-05,2018-12,Wednesday,12
C537602,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,-1,2018-12-05 12:45:00,2.95,17511,-2.95,2018-12-05,2018-12,Wednesday,12
C537602,22197,SMALL POPCORN HOLDER,-1,2018-12-05 12:45:00,0.72,17511,-0.72,2018-12-05,2018-12,Wednesday,12
C537602,22659,LUNCH BOX I LOVE LONDON,-4,2018-12-05 12:45:00,1.65,17511,-6.6,2018-12-05,2018-12,Wednesday,12
C537602,22169,FAMILY ALBUM WHITE PICTURE FRAME,-1,2018-12-05 12:45:00,7.65,17511,-7.65,2018-12-05,2018-12,Wednesday,12
C537602,21843,RED RETROSPOT CAKE STAND,-1,2018-12-05 12:45:00,9.95,17511,-9.95,2018-12-05,2018-12,Wednesday,12
C537602,22423,REGENCY CAKESTAND 3 TIER,-2,2018-12-05 12:45:00,10.95,17511,-21.9,2018-12-05,2018-12,Wednesday,12
C537602,84050,PINK HEART SHAPE EGG FRYING PAN,-1,2018-12-05 12:45:00,1.25,17511,-1.25,2018-12-05,2018-12,Wednesday,12
C537602,22198,LARGE POPCORN HOLDER ,-1,2018-12-05 12:45:00,1.45,17511,-1.45,2018-12-05,2018-12,Wednesday,12
C537611,22865,HAND WARMER OWL DESIGN,-36,2018-12-05 13:25:00,2.1,17675,-75.60000000000001,2018-12-05,2018-12,Wednesday,13
C537656,21258,VICTORIAN SEWING BOX LARGE,-12,2018-12-05 16:21:00,10.95,15100,-131.39999999999998,2018-12-05,2018-12,Wednesday,16
C537677,21166,COOK WITH WINE METAL SIGN ,-1,2018-12-06 09:55:00,1.95,14796,-1.95,2018-12-06,2018-12,Thursday,9
C537684,22301,COFFEE MUG CAT + BIRD DESIGN,-1,2018-12-06 10:18:00,2.55,14901,-2.55,2018-12-06,2018-12,Thursday,10
C537684,22730,ALARM CLOCK BAKELIKE IVORY,-1,2018-12-06 10:18:00,3.75,14901,-3.75,2018-12-06,2018-12,Thursday,10
C537746,22156,HEART DECORATION WITH PEARLS ,-1,2018-12-06 11:03:00,0.85,15021,-0.85,2018-12-06,2018-12,Thursday,11
C537746,21558,SKULL LUNCH BOX WITH CUTLERY ,-1,2018-12-06 11:03:00,2.55,15021,-2.55,2018-12-06,2018-12,Thursday,11
C537746,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,2018-12-06 11:03:00,3.25,15021,-3.25,2018-12-06,2018-12,Thursday,11
C537756,21914,BLUE HARMONICA IN BOX ,-24,2018-12-06 11:33:00,1.25,14952,-30.0,2018-12-06,2018-12,Thursday,11
C537756,84949,SILVER HANGING T-LIGHT HOLDER,-8,2018-12-06 11:33:00,1.65,14952,-13.2,2018-12-06,2018-12,Thursday,11
C537756,21275,ZINC TOP  2 DOOR WOODEN SHELF ,-4,2018-12-06 11:33:00,14.95,14952,-59.8,2018-12-06,2018-12,Thursday,11
C537763,85068,CREAM SWEETHEART SHELF + HOOKS,-1,2018-12-06 12:03:00,7.95,16713,-7.95,2018-12-06,2018-12,Thursday,12
C537788,90062,CARNIVAL BRACELET,-1,2018-12-06 12:49:00,12.75,15916,-12.75,2018-12-06,2018-12,Thursday,12
C537788,16202E,BLACK PHOTO ALBUM ,-1,2018-12-06 12:49:00,5.55,15916,-5.55,2018-12-06,2018-12,Thursday,12
C537797,22501,PICNIC BASKET WICKER LARGE,-1,2018-12-06 13:07:00,8.5,13113,-8.5,2018-12-06,2018-12,Thursday,13
C537797,22423,REGENCY CAKESTAND 3 TIER,-2,2018-12-06 13:07:00,10.95,13113,-21.9,2018-12-06,2018-12,Thursday,13
C537797,22469,HEART OF WICKER SMALL,-1,2018-12-06 13:07:00,1.45,13113,-1.45,2018-12-06,2018-12,Thursday,13
C537798,22357,KINGS CHOICE BISCUIT TIN,-1,2018-12-06 13:07:00,4.25,16553,-4.25,2018-12-06,2018-12,Thursday,13
