CustomerID,customer_segment,campaign_strategy
12390,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12391,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12393,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12394,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12395,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12397,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12398,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12399,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12401,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12402,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12403,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12405,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12406,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12407,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12408,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12409,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12410,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12412,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12413,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12414,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12415,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12417,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12418,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12420,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12421,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12422,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12423,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12424,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12425,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12426,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12427,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12428,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12429,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12430,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12431,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12432,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12433,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12434,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12435,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12436,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12437,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12438,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12441,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12442,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12444,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12445,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12446,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12447,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12448,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12449,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12450,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12451,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12452,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12453,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12454,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12455,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12456,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12457,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12458,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12461,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12462,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12463,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12464,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12465,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12468,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12471,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12472,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12473,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12474,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12475,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12476,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12477,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12478,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12479,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12480,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12481,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12483,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12484,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12488,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12489,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12490,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12491,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12492,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12493,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12494,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12497,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12498,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12500,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12501,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12502,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12504,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12506,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12507,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12508,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12509,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12510,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12512,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12513,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12514,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12515,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12516,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12517,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12518,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12519,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12520,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12521,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12522,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12523,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12524,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12526,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12527,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12528,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12530,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12531,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12532,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12534,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12535,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12536,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12538,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12539,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12540,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12541,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12544,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12545,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12546,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12547,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12548,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12550,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12551,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12552,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12553,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12556,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12557,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12558,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12559,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12560,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12561,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12562,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12564,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12565,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12566,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12567,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12569,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12571,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12572,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12573,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12574,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12576,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12577,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12578,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12579,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12580,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12581,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12582,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12583,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12584,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12585,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12586,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12587,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12588,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12589,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12590,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12591,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12592,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12593,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12594,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12596,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12597,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12598,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12599,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12600,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12601,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12602,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12603,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12604,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12605,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12607,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12609,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12610,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12611,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12612,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12613,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12614,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12615,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12616,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12617,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12618,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12619,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12620,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12621,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12622,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12623,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12624,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12625,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12626,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12627,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12628,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12630,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12631,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12633,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12635,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12637,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12638,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12639,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12640,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12641,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12642,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12643,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12644,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12645,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12646,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12647,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12648,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12649,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12650,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12651,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12652,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12653,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12654,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12656,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12657,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12658,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12659,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12660,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12662,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12664,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12665,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12666,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12667,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12668,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12669,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12670,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12672,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12673,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12674,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12676,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12678,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12679,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12680,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12681,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12682,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
